dataset,model,horizon,univariate_mae,multivariate_mae,mae_improvement,mae_improvement_pct,univariate_rmse,multivariate_rmse,rmse_improvement,rmse_improvement_pct,univariate_wape,multivariate_wape,wape_improvement,wape_improvement_pct,num_univariate_runs,num_multivariate_runs
ETTh1,dlinear,24,1.327412724494934,1.4205583731333415,-0.09314564863840746,-7.017082699267356,1.7929561210352813,1.890891664111481,-0.09793554307619967,-5.46223869771281,16.8695551554362,18.05330530802409,-1.1837501525878906,-7.01707983216397,3,3
ETTh1,dlinear,48,1.7230446736017864,1.8230178356170654,-0.09997316201527906,-5.802122460719431,2.2717031699886143,2.362103912838545,-0.09040074284993072,-3.9794258353913285,21.86909548441569,23.137967427571613,-1.268871943155922,-5.8021235677540615,3,3
ETTh1,dlinear,96,2.1344284216562905,2.210715134938558,-0.07628671328226755,-3.5741050160431236,2.7650753006053033,2.852136274215983,-0.08706097361067977,-3.1485932260731286,27.002506256103516,27.967605590820312,-0.9650993347167969,-3.5741102161531786,3,3
ETTh1,linear,24,1.3396555185317993,1.4263925552368164,-0.08673703670501709,-6.4745776436674465,1.806486227782238,1.8950845993298715,-0.0885983715476335,-4.904458732375875,17.025143305460613,18.12744967142741,-1.1023063659667969,-6.474579075133219,3,3
ETTh1,linear,48,1.7437140146891277,1.8039329449335735,-0.0602189302444458,-3.4534866232168087,2.2861883822698243,2.3554988615225994,-0.069310479252775,-3.031704639490847,22.131432851155598,22.89573923746745,-0.7643063863118513,-3.4534880387192954,3,3
ETTh1,linear,96,2.14792799949646,2.2143709659576416,-0.06644296646118164,-3.093351661543492,2.784558699367123,2.8667251129838043,-0.08216641361668131,-2.950787628767035,27.173288345336914,28.01385498046875,-0.8405666351318359,-3.0933563301185143,3,3
ETTh1,naive,24,1.452306866645813,1.452306866645813,0.0,0.0,1.9645780531595525,1.9645780531595525,0.0,0.0,18.456783294677734,18.456783294677734,0.0,0.0,3,3
ETTh1,naive,48,1.834916949272156,1.834916949272156,0.0,0.0,2.4346655969683555,2.4346655969683555,0.0,0.0,23.288991928100582,23.288991928100582,0.0,0.0,3,3
ETTh1,naive,96,2.3309926986694336,2.3309926986694336,0.0,0.0,3.061985361882757,3.061985361882757,0.0,0.0,29.489227294921875,29.489227294921875,0.0,0.0,3,3
ETTh1,nlinear,24,1.3365555206934612,1.4117647806803386,-0.07520925998687744,-5.62709583121962,1.801866457425391,1.8944086887040743,-0.09254223127868322,-5.135909539651058,16.98574701944987,17.941551208496094,-0.9558041890462228,-5.62709539917061,3,3
ETTh1,nlinear,48,1.737384517987569,1.7691951592763264,-0.031810641288757324,-1.8309499687267805,2.282012559306647,2.329402672020467,-0.047390112713819654,-2.0766806265176028,22.051098505655926,22.454843521118164,-0.4037450154622384,-1.8309519381026806,3,3
ETTh1,nlinear,96,2.134672164916992,2.1343024571736655,0.0003697077433266749,0.01731918134328843,2.772491878438615,2.7855593452524814,-0.013067466813866169,-0.4713257021775435,27.005590438842773,27.000913619995117,0.00467681884765625,0.01731796554586517,3,3
ETTh2,dlinear,24,2.88032595316569,2.864088217417399,0.016237735748291016,0.5637464652375385,4.0194305541053374,3.973961774190029,0.0454687799153084,1.1312244185651577,10.835147539774576,10.774064699808756,0.06108283996582031,0.5637471916426818,3,3
ETTh2,dlinear,48,3.6922945976257324,3.6090401808420816,0.08325441678365086,2.2548151178723987,4.968551566127784,4.85264211801996,0.115909448107824,2.3328619330030915,13.885345141092936,13.572256406148275,0.3130887349446603,2.254814207088673,3,3
ETTh2,dlinear,96,4.553293228149414,4.493000030517578,0.06029319763183594,1.324166808741654,5.984097898469886,5.893098491610161,0.09099940685972552,1.5206871345302315,17.09046808878581,16.864161173502605,0.22630691528320312,1.3241703744305173,3,3
ETTh2,linear,24,2.960702578226725,2.929501533508301,0.03120104471842433,1.0538392119451523,4.10005952669471,4.024702108839011,0.07535741785569883,1.8379591165704052,11.137506802876791,11.020135243733725,0.1173715591430664,1.0538405158392328,3,3
ETTh2,linear,48,3.725034316380819,3.629991134007772,0.09504318237304688,2.551471323501504,5.010090648683734,4.869303958305281,0.14078669037845337,2.810062736398617,14.008467038472494,13.651044209798178,0.3574228286743164,2.5514771009040427,3,3
ETTh2,linear,96,4.624462604522705,4.647485415140788,-0.02302281061808298,-0.4978483466504144,6.035042832889476,6.032636468216961,0.0024063646725149823,0.03987319956373625,17.357596079508465,17.444011052449543,-0.08641497294107836,-0.4978510419602153,3,3
ETTh2,naive,24,4.896778583526611,4.896778583526611,0.0,0.0,6.461150049405872,6.461150049405872,0.0,0.0,18.420595169067383,18.420595169067383,0.0,0.0,3,3
ETTh2,naive,48,5.427020072937012,5.427020072937012,0.0,0.0,7.05976855366024,7.05976855366024,0.0,0.0,20.40900230407715,20.40900230407715,0.0,0.0,3,3
ETTh2,naive,96,6.188783168792725,6.188783168792725,0.0,0.0,8.003506368884661,8.003506368884661,0.0,0.0,23.229164123535156,23.229164123535156,0.0,0.0,3,3
ETTh2,nlinear,24,2.872312863667806,2.842727025349935,0.029585838317871094,1.0300353659974002,4.007272907644462,3.964932430968325,0.04234047667613705,1.0565907950857645,10.805003801981607,10.693709055582682,0.11129474639892578,1.0300296829003857,3,3
ETTh2,nlinear,48,3.6671314239501953,3.6526923974355063,0.01443902651468898,0.3937417246730528,4.948194028218878,4.92630166628109,0.02189236193778754,0.44243135602481176,13.790715217590332,13.73641586303711,0.054299354553222656,0.39373849504166936,3,3
ETTh2,nlinear,96,4.5250522295633955,4.611613750457764,-0.0865615208943682,-1.9129397077195762,5.963849948018236,6.01558831415278,-0.0517383661345443,-0.867532996059647,16.984467188517254,17.309369405110676,-0.3249022165934221,-1.9129373502695441,3,3
